indice;indice_original_lower_pivot;valor_rsi;support_slope;support_intercept;inicio_janela;fim_janela;mapeado;x_min;x_max;num_zeros
12,0;70,0;28,291798701984078;-0,2414838513014704;45,19566829308701;70,0;139,0;1,0;35,0;128,0;3,0
42,0;250,0;30,12821414139684;0,22102960783044984;-25,12918781621562;222,0;291,0;1,0;195,0;284,0;4,0
55,0;292,0;21,826295477378395;-0,6667147091029315;216,5069905354344;259,0;328,0;1,0;264,0;318,0;3,0
57,0;292,0;21,826295477378395;-0,6667147091029315;216,5069905354344;264,0;333,0;1,0;264,0;329,0;3,0
59,0;292,0;21,826295477378395;-0,7318462578364962;235,52540276563525;272,0;341,0;1,0;264,0;329,0;3,0
65,0;350,0;30,392133488352314;-0,6800007504773239;268,39239615541567;300,0;369,0;1,0;308,0;350,0;4,0
67,0;350,0;30,392133488352314;-0,6800007504773239;268,39239615541567;308,0;377,0;1,0;308,0;370,0;4,0
68,0;350,0;30,392133488352314;-0,05131760542594778;48,35329538743404;318,0;387,0;1,0;350,0;378,0;3,0
69,0;350,0;30,392133488352314;-0,6800007504773239;268,39239615541567;318,0;387,0;1,0;308,0;378,0;4,0
70,0;378,0;28,955240536425777;-0,05131760542594778;48,35329538743404;329,0;398,0;1,0;350,0;378,0;3,0
71,0;378,0;28,955240536425777;-0,05131760542594778;48,35329538743404;339,0;408,0;1,0;350,0;378,0;3,0
73,0;378,0;28,955240536425777;-0,05131760542594778;48,35329538743404;350,0;419,0;1,0;350,0;409,0;3,0
86,0;464,0;30,400019124339238;-0,82688729077055;414,0757220418744;412,0;481,0;1,0;428,0;471,0;3,0
88,0;464,0;30,400019124339238;-0,82688729077055;414,0757220418744;427,0;496,0;1,0;428,0;482,0;3,0
90,0;464,0;30,400019124339238;-0,82688729077055;414,0757220418744;428,0;497,0;1,0;428,0;497,0;3,0
92,0;464,0;30,400019124339238;-0,82688729077055;414,0757220418744;442,0;511,0;1,0;428,0;497,0;3,0
95,0;523,0;28,654977935372514;-0,2644487393024108;166,96166859053335;471,0;540,0;1,0;471,0;523,0;3,0
109,0;608,0;21,51261382381999;0,013062002715319364;13,570916172905816;573,0;642,0;1,0;128,0;631,0;4,0
111,0;631,0;21,813039886272335;0,013062002715319364;13,570916172905816;581,0;650,0;1,0;128,0;631,0;4,0
113,0;631,0;21,813039886272335;0,013062002715319364;13,570916172905816;589,0;658,0;1,0;128,0;651,0;4,0
115,0;631,0;21,813039886272335;0,013062002715319364;13,570916172905816;591,0;660,0;1,0;128,0;659,0;4,0
117,0;631,0;21,813039886272335;0,013062002715319364;13,570916172905816;600,0;669,0;1,0;128,0;659,0;4,0
118,0;608,0;21,51261382381999;-0,036326299941776136;43,59900418841988;608,0;677,0;1,0;350,0;670,0;6,0
119,0;670,0;19,26038322742987;-0,0654527348421145;63,11371557164659;624,0;693,0;1,0;523,0;670,0;4,0
121,0;670,0;19,26038322742987;-0,0654527348421145;63,11371557164659;631,0;700,0;1,0;523,0;694,0;4,0
159,0;909,0;17,574254387372974;0,028944251850497378;-8,736070544729142;845,0;914,0;1,0;857,0;909,0;3,0
161,0;909,0;17,574254387372974;0,028944251850497378;-8,736070544729142;857,0;926,0;1,0;857,0;915,0;3,0
163,0;909,0;17,574254387372974;0,028944251850497378;-8,736070544729142;873,0;942,0;1,0;857,0;927,0;3,0
174,0;946,0;32,84023510032901;-0,2997069777648246;316,36303606585307;913,0;982,0;1,0;915,0;967,0;3,0
176,0;946,0;32,84023510032901;-0,2997069777648246;316,36303606585307;915,0;984,0;1,0;915,0;983,0;3,0
178,0;946,0;32,84023510032901;-0,3555332180265064;369,1746593534041;927,0;996,0;1,0;915,0;983,0;3,0
190,0;1008,0;39,637317220687116;-0,13085281453393013;171,53695427088869;1008,0;1077,0;1,0;983,0;1052,0;3,0
191,0;1052,0;33,87979338119419;-1,3040259751678422;1405,7151192577644;1015,0;1084,0;1,0;1027,0;1052,0;3,0
193,0;1052,0;33,87979338119419;-1,3040259751678422;1405,7151192577644;1027,0;1096,0;1,0;1027,0;1085,0;3,0
206,0;1194,0;23,744307349561183;0,024506534122720167;-5,516494392966695;1134,0;1203,0;1,0;857,0;1085,0;3,0
207,0;1149,0;22,641513314038775;0,024506534122720167;-5,516494392966695;1140,0;1209,0;1,0;857,0;1085,0;3,0
209,0;1149,0;22,641513314038775;0,024506534122720167;-5,516494392966695;1145,0;1214,0;1,0;857,0;1085,0;3,0
210,0;1149,0;22,641513314038775;0,024506534122720167;-5,516494392966695;1149,0;1218,0;1,0;857,0;1085,0;3,0
211,0;1194,0;23,744307349561183;0,0228227018624022;-3,505998674147044;1153,0;1222,0;1,0;857,0;1085,0;3,0
212,0;1223,0;21,856285202450323;-0,06510421196933999;101,47873644095313;1188,0;1257,0;1,0;1194,0;1223,0;3,0
214,0;1223,0;21,856285202450323;-0,06510421196933999;101,47873644095313;1194,0;1263,0;1,0;1194,0;1258,0;3,0
223,0;1258,0;46,534618874644615;-0,013193649763476917;63,13223027709857;1230,0;1299,0;1,0;1258,0;1289,0;4,0
232,0;1323,0;25,912395548216963;-0,5964143655102118;814,9686011182272;1289,0;1358,0;1,0;1289,0;1341,0;3,0
234,0;1323,0;25,912395548216963;-0,6125032896334526;836,2542477332747;1299,0;1368,0;1,0;1289,0;1341,0;3,0
236,0;1323,0;25,912395548216963;-0,6125032896334526;836,2542477332747;1300,0;1369,0;1,0;1289,0;1369,0;3,0
239,0;1341,0;31,85595889853657;0,34285613373928436;-427,9141164458438;1317,0;1386,0;1,0;1323,0;1379,0;3,0
240,0;1341,0;31,85595889853657;0,33019796390664485;-410,9395107002742;1317,0;1386,0;1,0;1323,0;1379,0;3,0
241,0;1323,0;25,912395548216963;0,33019796390664485;-410,9395107002742;1323,0;1392,0;1,0;1323,0;1387,0;4,0
242,0;1341,0;31,85595889853657;0,34285613373928436;-427,9141164458438;1334,0;1403,0;1,0;1323,0;1387,0;4,0
