Date;Equity;DrawdownPct;DrawdownDuration
2021-01-04;10000000,0;0,0;
2021-01-05;10000000,0;0,0;
2021-01-06;10000000,0;0,0;
2021-01-07;10000000,0;0,0;
2021-01-08;10000000,0;0,0;
2021-01-11;10000000,0;0,0;
2021-01-12;10000000,0;0,0;
2021-01-13;10000000,0;0,0;
2021-01-14;10000000,0;0,0;
2021-01-15;10000000,0;0,0;
2021-01-19;10000000,0;0,0;
2021-01-20;10000000,0;0,0;
2021-01-21;10000000,0;0,0;
2021-01-22;10000000,0;0,0;
2021-01-25;10000000,0;0,0;
2021-01-26;10000000,0;0,0;
2021-01-27;10000000,0;0,0;
2021-01-28;10000000,0;0,0;
2021-01-29;10000000,0;0,0;
2021-02-01;10000000,0;0,0;
2021-02-02;10000000,0;0,0;
2021-02-03;10000000,0;0,0;
2021-02-04;10000000,0;0,0;
2021-02-05;10000000,0;0,0;
2021-02-08;10000000,0;0,0;
2021-02-09;10000000,0;0,0;
2021-02-10;10000000,0;0,0;
2021-02-11;10000000,0;0,0;
2021-02-12;10000000,0;0,0;
2021-02-16;10000000,0;0,0;
2021-02-17;10000000,0;0,0;
2021-02-18;10000000,0;0,0;
2021-02-19;10000000,0;0,0;
2021-02-22;10000000,0;0,0;
2021-02-23;10000000,0;0,0;
2021-02-24;10000000,0;0,0;
2021-02-25;10000000,0;0,0;
2021-02-26;10000000,0;0,0;
2021-03-01;10000000,0;0,0;
2021-03-02;10000000,0;0,0;
2021-03-03;10000000,0;0,0;
2021-03-04;10000000,0;0,0;
2021-03-05;10000000,0;0,0;
2021-03-08;10000000,0;0,0;
2021-03-09;10000000,0;0,0;
2021-03-10;10000000,0;0,0;
2021-03-11;10000000,0;0,0;
2021-03-12;10000000,0;0,0;
2021-03-15;10000000,0;0,0;
2021-03-16;10000000,0;0,0;
2021-03-17;10000000,0;0,0;
2021-03-18;10000000,0;0,0;
2021-03-19;10000000,0;0,0;
2021-03-22;10000000,0;0,0;
2021-03-23;10000000,0;0,0;
2021-03-24;10000000,0;0,0;
2021-03-25;10000000,0;0,0;
2021-03-26;10000000,0;0,0;
2021-03-29;10000000,0;0,0;
2021-03-30;10000000,0;0,0;
2021-03-31;10000000,0;0,0;
2021-04-01;10000000,0;0,0;
2021-04-05;10000000,0;0,0;
2021-04-06;10000000,0;0,0;
2021-04-07;10000000,0;0,0;
2021-04-08;10000000,0;0,0;
2021-04-09;10000000,0;0,0;
2021-04-12;10000000,0;0,0;
2021-04-13;10000000,0;0,0;
2021-04-14;10000000,0;0,0;
2021-04-15;10000000,0;0,0;
2021-04-16;10000000,0;0,0;
2021-04-19;10000000,0;0,0;
2021-04-20;10000000,0;0,0;
2021-04-21;10000000,0;0,0;
2021-04-22;10000000,0;0,0;
2021-04-23;10000000,0;0,0;
2021-04-26;10000000,0;0,0;
2021-04-27;10000000,0;0,0;
2021-04-28;10000000,0;0,0;
2021-04-29;10000000,0;0,0;
2021-04-30;10000000,0;0,0;
2021-05-03;10000000,0;0,0;
2021-05-04;10000000,0;0,0;
2021-05-05;10000000,0;0,0;
2021-05-06;10000000,0;0,0;
2021-05-07;10000000,0;0,0;
2021-05-10;10000000,0;0,0;
2021-05-11;10000000,0;0,0;
2021-05-12;10000000,0;0,0;
2021-05-13;10000000,0;0,0;
2021-05-14;10000000,0;0,0;
2021-05-17;10000000,0;0,0;
2021-05-18;10000000,0;0,0;
2021-05-19;10000000,0;0,0;
2021-05-20;10000000,0;0,0;
2021-05-21;10000000,0;0,0;
2021-05-24;10000000,0;0,0;
2021-05-25;10000000,0;0,0;
