,janela_rsi,ordem,lookback1,lookback2,lookback3,lookback4,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,DD_Min,DDD_max,retorno_acum
0,14,5,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.16913735319636425,300,61.202728708925605
1,14,7,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.2999329669247941,563,59.86752682603077
2,14,9,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.26440370615544806,361,21.41838535299729
3,14,11,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.2644037061554497,404,21.59282643330586
4,21,5,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.23617069642756994,640,29.880766328304674
5,21,7,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.3526484695764497,1101,-27.268855500004975
6,21,9,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.5543614161350663,942,-37.78750060758372
7,21,11,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.4401213572971535,942,-34.14825588583231
8,35,5,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.23309850269487564,1145,-3.0182016061699386
9,35,7,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.16619735189076434,716,19.054492434213927
10,35,9,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.16760434696275317,1292,1.4977856181722728
11,35,11,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.34869855801028915,1254,-11.439871220980663
12,42,5,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.30213700684303535,875,0.6693602658891251
13,42,7,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.25521653399811317,667,16.45139401139926
14,42,9,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.34158253468218236,942,-12.615633945772316
15,42,11,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.22046266057617725,667,-14.226277434913627
